GIA;Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;13_Часть В;14_Часть В;15_Часть В;16_Часть В;17_Часть В;18_Часть В;Часть С;1_Часть С;2_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
1;208103;"МОУ ""СОШ № 47 р.п.Сенной""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;82730;+++++-+----+-+--+-;+;+;+;+;+;-;+;-;-;-;-;+;-;+;-;-;+;-;0(2)0(2);0;0;;9;40;0;3
1;253013;"ФГКОУ ""СОШ № 24""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;-++-+-+++-++-+-+--;-;+;+;-;+;-;+;+;+;-;+;+;-;+;-;+;-;-;0(2)0(2);0;0;;10;45;0;3
1;208143;"МОУ ""СОШ с.Широкий Буерак""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+-+++-+++++++++-+-;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;0(2)0(2);0;0;;14;63;0;4
1;210013;"МОУ ""СОШ № 1 р.п. Дергачи""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++++++++-++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;2(2)2(2);2;2;;21;95;0;5
1;210023;"МОУ ""СОШ № 2 р.п. Дергачи""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-++-++-+-+++--+-;+;+;-;+;+;-;+;+;-;+;-;+;+;+;-;-;+;-;0(2)2(2);0;2;;13;59;0;4
1;214015;"МОУ ""Гимназия с. Ивантеевка""";Гимназия;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++-+++++-+++++-++;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;-;+;+;2(2)0(2);2;0;;17;77;0;4
1;214023;"МОУ ""СОШ п. Знаменский""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;++++++++++++-++-+-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;+;-;1(2)2(2);1;2;;18;81;0;5
1;216023;"МБОУ ""СОШ №3 г.Красноармейска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-++---+++---++--++;-;+;+;-;-;-;+;+;+;-;-;-;+;+;-;-;+;+;0(2)0(2);0;0;;9;40;0;3
1;216073;"МБОУ ""СОШ № 8 г. Красноармейска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-+++++-----+----;+;+;-;+;+;+;+;+;-;-;-;-;-;+;-;-;-;-;0(2)0(2);0;0;;8;36;0;3
1;216103;"МБОУ ""СОШ № 19 с. Луганское""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;-+--+++-----------;-;+;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;4;18;0;3
1;252106;"Лицей - интернат №5 ОАО ""РЖД"" г. Красный Кут";Лицей-интернат;Общеобразовательная школа-интернат;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-+-++-+-+------+;+;+;-;+;-;+;+;-;+;-;+;-;-;-;-;-;-;+;0(2)0(2);0;0;;8;36;0;3
1;218043;"МОУ ""СОШ с. Милорадовка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++-++-++-----++++;+;+;+;-;+;+;-;+;+;-;-;-;-;-;+;+;+;+;0(2)0(2);0;0;;11;50;0;3
1;219013;"МБОУ ""Средняя общеобразовательная школа №1 р.п. Лысые Горы Саратовской области>";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-+-+-++------+--+-;-;+;-;+;-;+;+;-;-;-;-;-;-;+;-;-;+;-;0(2)0(2);0;0;;6;27;0;3
1;220023;МОУ - СОШ № 3 г. Маркса;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++-++-+---+-+--+-;+;+;+;-;+;+;-;+;-;-;-;+;-;+;-;-;+;-;0(2)0(2);0;0;;9;40;0;3
1;220163;МОУ - СОШ с. Подлесное Марксовского р - на;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-++-+-+++++-++++-+;-;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;-;+;0(2)0(2);0;0;;13;59;0;4
1;221133;"МОУ ""СОШ с. Марьино-Лашмино""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-+++++++--++--++;+;+;-;+;+;+;+;+;+;+;-;-;+;+;-;-;+;+;0(2)0(2);0;0;;13;59;0;4
1;222013;"МОУ ""СОШ № 1 г. Новоузенска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++-+++-----+-+;+;+;+;+;+;+;-;+;+;+;-;-;-;-;-;+;-;+;0(2)0(2);0;0;;11;50;0;3
1;223013;"МОУ ""СОШ р.п. Озинки"" Озинского района Саратовской области";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;---+--+-----++++--;-;-;-;+;-;-;+;-;-;-;-;-;+;+;+;+;-;-;0(2)0(2);0;0;;6;27;0;3
1;249023;"ГБОУ СО ""Санаторная школа-интернат г. Петровска""";Средняя общеобразовательная школа-интернат;Общеобразовательная школа-интернат;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++++++++-++++++++;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;2(2)0(2);2;0;;19;86;0;5
1;226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-+++-++++--++;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;-;+;+;0(2)0(2);0;0;;14;63;0;4
1;227013;"МОУ ""СОШ № 1 г. Пугачева имени Т.Г. Мазура""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;22;100;0;5
1;206053;МОУ СОШ № 7 г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++++-++--++;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;-;+;+;1(2)0(2);1;0;;16;72;0;4
1;206063;МБОУ СОШ № 9 имени П.А. Столыпина г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации, не завершивший основное общее образование в предыдущие годы;5;Информатика;80255;---+-+++----------;-;-;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;4;18;0;3
1;206083;МАОУ СОШ № 15 г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+++-+++++-+-+++---;+;+;+;-;+;+;+;+;+;-;+;-;+;+;+;-;-;-;1(2)0(2);1;0;;13;59;0;4
1;206093;МОУ СОШ № 16 г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;-+--+-+-+---+---++;-;+;-;-;+;-;+;-;+;-;-;-;+;-;-;-;+;+;0(2)0(2);0;0;;7;31;0;3
1;206103;МОУ СОШ № 17 г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;83584;-++++-+++-++---+++;-;+;+;+;+;-;+;+;+;-;+;+;-;-;-;+;+;+;0(2)0(2);0;0;;12;54;0;4
1;206106;МОУ Лицей г. Балашова;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++-+++++-++++++++;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;0(2)0(2);0;0;;16;72;0;4
1;208023;"МОУ ""СОШ № 3 г.Вольска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-+++-+-++--+-++-+-;-;+;+;+;-;+;-;+;+;-;-;+;-;+;+;-;+;-;0(2)0(2);0;0;;10;45;0;3
1;208033;МОУ СОШ № 4 г.Вольска;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-++++++++++++-++;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;0(2)0(2);0;0;;16;72;0;4
1;208153;"МОУ ""СОШ с.Терса""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-++---++---+++----;-;+;+;-;-;-;+;+;-;-;-;+;+;+;-;-;-;-;0(2)0(2);0;0;;7;31;0;3
1;210013;"МОУ ""СОШ № 1 р.п. Дергачи""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+-+++-+----++++---;+;-;+;+;+;-;+;-;-;-;-;+;+;+;+;-;-;-;1(2)2(2);1;2;;12;54;0;4
1;211093;"МОУ ""СОШ им. Г.И. Марчука р.п. Духовницкое""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-+++-++-++-++;+;+;+;+;+;-;+;+;+;-;+;+;-;+;+;-;+;+;0(2)0(2);0;0;;14;63;0;4
1;213033;"МОУ ""Средняя общеобразовательная школа № 3 г. Ершова Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++++++++++-+++++++;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;0(2)0(2);0;0;;17;77;0;4
1;213043;"МОУ ""СОШ №4 г. Ершова Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-++++++++--+-+++;+;+;-;+;+;+;+;+;+;+;+;-;-;+;-;+;+;+;1(2)2(2);1;2;;17;77;0;4
1;213133;"МОУ ""СОШ п. Учебный Ершовского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;82730;+++++-+++-++++-+++;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;+;+;+;0(2)0(2);0;0;;15;68;0;4
1;213133;"МОУ ""СОШ п. Учебный Ершовского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;83584;-+--+-+---+--+--+-;-;+;-;-;+;-;+;-;-;-;+;-;-;+;-;-;+;-;0(2)0(2);0;0;;6;27;0;3
1;216023;"МБОУ ""СОШ №3 г.Красноармейска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-++++++---+++-++;+;+;-;+;+;+;+;+;+;-;-;-;+;+;+;-;+;+;0(2)0(2);0;0;;13;59;0;4
